Date,Stock Name,Sentiment
2021-09-30,AAPL,0.08874285714285714
2021-09-30,AMD,0.40913333333333335
2021-09-30,AMZN,0.24425999999999998
2021-09-30,DIS,0.4215
2021-09-30,GOOG,0.4404
2021-09-30,META,0.5242666666666667
2021-09-30,MSFT,0.24425999999999998
2021-09-30,NFLX,0.27166
2021-09-30,NIO,0.4221142857142857
2021-09-30,PG,0.24425999999999998
2021-09-30,TSLA,0.2415088888888889
2021-09-30,TSM,0.36542857142857144
2021-09-30,XPEV,0.7783
2021-10-01,AAPL,0.29373636363636363
2021-10-01,AMD,0.56255
2021-10-01,AMZN,0.3593375
2021-10-01,CRM,0.7269
2021-10-01,DIS,0.57245
2021-10-01,GOOG,-0.49434999999999996
2021-10-01,META,0.3189818181818182
2021-10-01,MSFT,0.3593375
2021-10-01,NFLX,0.52278
2021-10-01,NIO,0.2564941176470588
2021-10-01,PG,0.3593375
2021-10-01,TSLA,0.21987021276595745
2021-10-01,TSM,0.18894117647058825
2021-10-01,XPEV,0.4819
2021-10-01,ZS,0.36345
2021-10-02,AAPL,0.007524999999999997
2021-10-02,AMD,-0.22449999999999998
2021-10-02,AMZN,0.004200000000000009
2021-10-02,CRM,-0.09065000000000001
2021-10-02,DIS,0.20806666666666665
2021-10-02,ENPH,0.0
2021-10-02,GOOG,0.3277666666666667
2021-10-02,KO,0.0
2021-10-02,META,0.7351
2021-10-02,MSFT,0.004200000000000009
2021-10-02,NIO,0.24255714285714286
2021-10-02,PG,0.004200000000000009
2021-10-02,TSLA,0.2554698275862069
2021-10-02,TSM,0.2046583333333333
2021-10-03,AAPL,0.8344
2021-10-03,AMZN,0.8344
2021-10-03,BA,0.27749999999999997
2021-10-03,GOOG,0.3818
2021-10-03,META,0.2769
2021-10-03,MSFT,0.8344
2021-10-03,NFLX,0.21566666666666667
2021-10-03,NIO,0.40631666666666666
2021-10-03,PG,0.8344
2021-10-03,PYPL,0.9001
2021-10-03,TSLA,0.26560327868852457
2021-10-03,TSM,0.24353913043478262
2021-10-04,AAPL,0.08954
2021-10-04,AMD,0.7959
2021-10-04,AMZN,0.22623333333333331
2021-10-04,CRM,-0.3818
2021-10-04,ENPH,-0.9732
2021-10-04,GOOG,0.07505
2021-10-04,META,0.057140625
2021-10-04,MSFT,0.22623333333333331
2021-10-04,NFLX,0.368675
2021-10-04,NIO,0.08215
2021-10-04,PG,0.22623333333333331
2021-10-04,PYPL,0.9403
2021-10-04,TSLA,0.12011176470588236
2021-10-04,TSM,0.019021621621621625
2021-10-04,XPEV,0.3818
2021-10-04,ZS,0.5267
2021-10-05,AAPL,0.27408
2021-10-05,AMD,0.9371
2021-10-05,AMZN,0.11063333333333332
2021-10-05,BA,0.0
2021-10-05,COST,-0.6369
2021-10-05,CRM,-0.9413
2021-10-05,GOOG,0.2294
2021-10-05,META,0.12983225806451612
2021-10-05,MSFT,0.11063333333333332
2021-10-05,NFLX,0.16229999999999997
2021-10-05,NIO,0.14207499999999998
2021-10-05,PG,0.11063333333333332
2021-10-05,PYPL,0.546
2021-10-05,TSLA,0.08521704545454546
2021-10-05,TSM,0.14170500000000003
2021-10-06,AAPL,0.21563999999999997
2021-10-06,AMZN,0.24955714285714284
2021-10-06,BA,0.19556
2021-10-06,COST,0.0
2021-10-06,ENPH,0.4939
2021-10-06,GOOG,-0.1909
2021-10-06,KO,0.38315
2021-10-06,META,0.287
2021-10-06,MSFT,0.24955714285714284
2021-10-06,NFLX,0.2726
2021-10-06,NIO,0.1458142857142857
2021-10-06,PG,0.24955714285714284
2021-10-06,PYPL,0.4215
2021-10-06,TSLA,0.21065897435897435
2021-10-06,TSM,0.196765
2021-10-07,AAPL,0.2351625
2021-10-07,AMD,0.28636666666666666
2021-10-07,AMZN,0.234875
2021-10-07,BA,0.35645000000000004
2021-10-07,BX,-0.5719
2021-10-07,COST,0.3182
2021-10-07,CRM,0.6249
2021-10-07,DIS,0.31245
2021-10-07,F,0.5106
2021-10-07,GOOG,0.14875
2021-10-07,INTC,0.2023
2021-10-07,META,0.33815833333333334
2021-10-07,MSFT,0.234875
2021-10-07,NFLX,0.281175
2021-10-07,NIO,0.05005625
2021-10-07,NOC,0.5106
2021-10-07,PG,0.234875
2021-10-07,TSLA,0.17427299270072993
2021-10-07,TSM,0.193004
2021-10-07,XPEV,0.1779
2021-10-08,AAPL,0.4263857142857143
2021-10-08,AMD,0.49643333333333334
2021-10-08,AMZN,0.3972
2021-10-08,BA,0.65065
2021-10-08,DIS,0.0
2021-10-08,F,0.4939
2021-10-08,META,-0.05135
2021-10-08,MSFT,0.3972
2021-10-08,NFLX,0.3953
2021-10-08,NIO,0.055833333333333346
2021-10-08,NOC,0.4939
2021-10-08,PG,0.3972
2021-10-08,PYPL,0.8074
2021-10-08,TSLA,0.21370333333333333
2021-10-08,TSM,0.250875
2021-10-09,AAPL,0.4964
2021-10-09,AMD,0.454
2021-10-09,AMZN,0.4019
2021-10-09,BA,0.10405
2021-10-09,DIS,0.3818
2021-10-09,META,-0.23835
2021-10-09,MSFT,0.4019
2021-10-09,NFLX,0.52525
2021-10-09,NIO,0.26768333333333333
2021-10-09,PG,0.4019
2021-10-09,TSLA,0.2818880952380952
